S.No,L1,L2,L3,charge,DOI ,Incubation Time (hours),Cell Lines,IC50 (µM),pIC50
1,c1ccnc(c1)c1nc(ccc1)c1ncccc1,C1(=NC=CC=C1)C2=CC=CC=N2,,2,10.1039/c4ra12085j,72 h,A2780,0.89,6.05
2,c1ccnc(c1)c1nc(ccc1)c1ncccc1,C1(=NC=CC=C1)C2=CC=CC=N2,,2,10.1039/c4ra12085j,72 h,A2780cisR,2.05,5.69
3,c1ccnc(c1)c1nc(ccc1)c1ncccc1,c1(cc(ccn1)OCCN1CCCC1)c1nccc(c1)OCCN1CCCC1 ,,2,10.1039/c4ra12085j,72 h,A2780,0.47,6.33
4,c1ccnc(c1)c1nc(ccc1)c1ncccc1,c1(cc(ccn1)OCCN1CCCC1)c1nccc(c1)OCCN1CCCC1 ,,2,10.1039/c4ra12085j,72 h,A2780cisR,1.15,5.94
5,c1ccnc(c1)c1nc(ccc1)c1ncccc1,c1(cc(ccn1)OCCN1CCCCC1)c1nccc(c1)OCCN1CCCCC1,,2,10.1039/c4ra12085j,72 h,A2780,0.27,6.57
6,c1ccnc(c1)c1nc(ccc1)c1ncccc1,c1(cc(ccn1)OCCN1CCCCC1)c1nccc(c1)OCCN1CCCCC1,,2,10.1039/c4ra12085j,72 h,A2780cisR,0.99,6.00
7,c1ccnc(c1)c1nc(ccc1)c1ncccc1,c1(cc(ccn1)OCCN1CCOCC1)c1nccc(c1)OCCN1CCOCC1,,2,10.1039/c4ra12085j,72 h,A2780,0.26,6.59
8,c1ccnc(c1)c1nc(ccc1)c1ncccc1,c1(cc(ccn1)OCCN1CCOCC1)c1nccc(c1)OCCN1CCOCC1,,2,10.1039/c4ra12085j,72 h,A2780cisR,0.88,6.06
9, c1ccnc(c1)c1nc(ccc1)c1ncccc1,c12-c3ncccc3C3C(c1cccn2)N=c1c(=N3)cccc1 ,,2,10.1016/j.poly.2011.10.028,24 h,MCF7,4.57,5.34
10,c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,c12-c3ncccc3C3C(c1cccn2)N=c1c(=N3)cccc1,,2,10.1016/j.poly.2010.06.028,24 h,HeLa,3.7,5.43
11,c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,c12-c3ncccc3C3C(c1cccn2)N=c1c(=N3)cccc1,,2,10.1016/j.poly.2010.06.028,24 h,HeLa,12.4,4.91
12,c1ccnc(c1)c1nc(cc(c1)c1ncccc1)c1ncccc1,C1(=NC=CC=C1)C2=CC=CC=N2,,2,10.1016/j.ijbiomac.2016.11.022,24 h,HepG-2,153.8,3.81
13,c1ccnc(c1)c1nc(cc(c1)c1ncccc1)c1ncccc1,C12=NC=CC=C1C=CC3=CC=CN=C23 ,,2,10.1016/j.ijbiomac.2016.11.022,24 h,HepG-2,102.8,3.99
14,c1ccnc(c1)c1nc(cc(c1)c1ncccc1)c1ncccc1,c12c(cccn1)c1c(c3c2nccc3)nccn1 ,,2,10.1016/j.ijbiomac.2016.11.022,24 h,HepG-2,78.4,4.11
15,c1ccnc(c1)c1nc(cc(c1)c1ncccc1)c1ncccc1,c12-c3ncccc3C3C(c1cccn2)N=c1c(=N3)cccc1,,2,10.1016/j.ijbiomac.2016.11.022,24 h,HepG-2,47.6,4.32
16,c1ccnc(c1)c1nc(cc(c1)c1ccncc1)c1ncccc1,c12c(ccc(n1)C)ccc1c2nc(cc1)C,,2,10.1016/j.ejmech.2010.11.041,24 h,A549,68,4.17
17,c1ccnc(c1)c1nc(cc(c1)C1NC=CN1)c1ncccc1,c12c(ccc(n1)C)ccc1c2nc(cc1)C,,2,10.1016/j.ejmech.2010.11.041,24 h,A549,74,4.13
18,c1ccnc(c1)c1nc(cc(c1)C1Nc2c(N1)cccc2)c1ncccc1,c12c(ccc(n1)C)ccc1c2nc(cc1)C,,2,10.1016/j.jinorgbio.2012.08.010,24 h,MCF7,3.125,5.51
19,c1ccnc(c1)c1nc(cc(c1)c1ccc(cc1)OC)c1ncccc1,c12c(ccc(n1)C)ccc1c2nc(cc1)C,,2,10.1016/j.jinorgbio.2012.08.010,24 h,MCF7,6.25,5.20
20,c1ccnc(c1)c1nc(cc(c1)c1cc(c(c(c1)OC)OC)OC)c1ncccc1,C12=NC=CC=C1C=CC3=CC=CN=C23,,2,10.1039/d0dt00209g,24 h,A549,3.55,5.45
21, c1(cc(cc(n1)c1ccccn1)c1cc(c(c(c1)OC)OC)OC)c1ncccc1, c1(cc(cc(n1)c1ccccn1)c1cc(c(c(c1)OC)OC)OC)c1ncccc1,,0,10.1039/d0dt00209g,24 h,A549,1.18,5.93
22,c1ccnc(c1)c1nc(cc(c1)c1cc(c(c(c1)OC)OC)OC)c1ncccc1,C1(=NC=CC=C1)C2=CC=CC=N2,,2,10.1039/d0dt00209g,24 h,A549,0.51,6.29
23,c1(cc(cc(n1)c1ccccn1)c1cc(c(c(c1)OC)OC)OC)c1ncccc1,c1nccn1C, [O-]Cl(=O)(=O)=O ,0,10.1039/d0dt00209g,24 h,A549,1.25,5.90
24,c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,C1=C(C2=C(C=C1)C(C(=CC2=O)C)=O)O[H],O[N+](=O)[O-],0,10.1002/aoc.4287,48 h,HeLa,10.4,4.98
25,c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1, c1c(cc2c(c1O)c(=O)cc(o2)c1ccccc1)O,O[N+](=O)[O-] ,0,10.1002/aoc.4287,48 h,HeLa,8.1,5.09
26,c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,c1(c(ccc(c1)/C=C/C(=C/C(=O)/C=C/c1ccc(c(c1)OC)O)/O)O)OC,O[N+](=O)[O-],0,10.1002/aoc.4287,48 h,HeLa,5.5,5.26
27,c1(cc(cc(n1)c1ccccn1)c1ccc(cc1)C)c1ncccc1 , c12cc(ccc1cc(cc2)[C@H](C(=O)O)C)OC,Cl ,0,10.1039/c5nj01059d,24 h,MCF7,11.51,4.94
28,c1=cc=c(c=N1)c2=cc(=nc(=c2)c3=nc=cc=c3)c4=nc=cc=c4,c12cc(ccc1cc(cc2)[C@H](C(=O)O)C)OC,Cl ,0,10.1039/c5nj01059d,24 h,MCF7,10.4,4.98
29, c1(cc(cc(n1)c1ccccn1)c1occc1)c1ncccc1,c12cc(ccc1cc(cc2)[C@H](C(=O)O)C)OC,Cl ,0,10.1039/c5nj01059d,24 h,MCF7,31.03,4.51
30,c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],1,10.1039/d4md00543k,24 h,A2780,7.1,5.15
31,c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],1,10.1039/d4md00543k,24 h,A2780R,19.5,4.71
32,c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],1,10.1039/d4md00543k,24 h,MCF7,39.2,4.41
33,c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],1,10.1039/d4md00543k,24 h,PC-3,>50,
34,c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],1,10.1039/d4md00543k,24 h,A549,>50,
35,c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],1,10.1039/d4md00543k,24 h,HOS,42.8,4.37
36,c1ccnc(c1)c1nc(ccc1)c1ncccc1 ,C1(=C(C(=O)c2c(C1=O)cccc2)CC=C(C)C)O,[H]O[H],1,10.1039/d4md00543k,24 h,MRC-5,44.1,4.36
37,c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,c1cc(c2c(c1)cccn2)O,,1,10.1039/c6dt03660k,48 h,HeLa,15.5,4.81
38, c1(cc(cc(n1)c1ccccn1)c1ccccc1)c1ncccc1,c1c(c(c2c(c1Cl)cccn2)O)I,,1,10.1039/c6dt03660k,48 h,HeLa,7.3,5.14
